               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090165,            0.032629,            0.054766,              0.7706,            0.033499,            0.018217,           0.0065591,            0.058495,            0.021006,            0.065261,            0.070126,           0.0033194,           0.0033194
                   1,            0.060622,            0.020049,            0.042127,             0.98585,            0.032631,            0.048898,            0.023671,            0.048067,            0.015693,            0.058837,            0.039994,            0.006521,            0.006521
                   2,            0.055885,            0.016299,            0.038467,             0.98253,            0.036724,            0.059162,            0.029112,            0.048399,            0.013744,            0.052287,           0.0097301,           0.0095906,           0.0095906
                   3,            0.050642,             0.01466,            0.032194,             0.87857,            0.097112,             0.11301,            0.057668,            0.041806,            0.011933,            0.044601,            0.009406,            0.009406,            0.009406
                   4,            0.045517,            0.013375,            0.027435,             0.89862,              0.1029,             0.13078,            0.066523,            0.039129,            0.011652,            0.041899,            0.009406,            0.009406,            0.009406
                   5,            0.041915,            0.012828,            0.025192,             0.69707,             0.14961,             0.16053,            0.082934,             0.03515,            0.010952,             0.03799,            0.009208,            0.009208,            0.009208
                   6,            0.039779,            0.012483,            0.023325,             0.57047,             0.25854,             0.16815,            0.087024,            0.037909,             0.01031,            0.036606,             0.00901,             0.00901,             0.00901
                   7,            0.038698,            0.011934,            0.022203,             0.52535,             0.30062,             0.16262,            0.093965,            0.034728,            0.010131,            0.035547,            0.008812,            0.008812,            0.008812
                   8,            0.036783,            0.011859,            0.021346,             0.51013,             0.35367,             0.18435,             0.10981,            0.031373,           0.0098663,            0.034205,            0.008614,            0.008614,            0.008614
                   9,             0.03558,            0.011515,            0.021168,             0.51669,             0.35433,             0.18965,             0.11454,            0.031854,           0.0099758,            0.033843,            0.008416,            0.008416,            0.008416
